node_type_id model_name model_type ei model_template morphology model_processing
139 497233049_all-active biophysical i nml:Cell_497233049.cell.nml Rbp4-Cre_495335491_m aibs_perisomatic
140 497232985_all-active biophysical i nml:Cell_497232985.cell.nml Rorb-IRES2-Cre-D;Ai14-181710.05.02.01_491771275_m aibs_perisomatic
141 497232978_all-active biophysical i nml:Cell_497232978.cell.nml Sst-IRES-Cre;Ai14-182533.03.01.01_491770708_m aibs_perisomatic
142 497232946_all-active biophysical i nml:Cell_497232946.cell.nml Rorb-IRES2-Cre-D;Ai14-181715.04.01.01_491392833_m aibs_perisomatic
143 497232939_all-active biophysical i nml:Cell_497232939.cell.nml Htr3a-Cre_492100793_m aibs_perisomatic
144 497232932_all-active biophysical i nml:Cell_497232932.cell.nml Htr3a-Cre_491119305_m aibs_perisomatic
145 497232925_all-active biophysical i nml:Cell_497232925.cell.nml Htr3a-Cre_491120373_m aibs_perisomatic
146 497232918_all-active biophysical i nml:Cell_497232918.cell.nml Sst-IRES-Cre;Ai14-183332.05.01.01_491771290_m aibs_perisomatic
147 497232911_all-active biophysical i nml:Cell_497232911.cell.nml Sst-IRES-Cre;Ai14-183332.06.02.01_495889919_m aibs_perisomatic
148 497232880_all-active biophysical i nml:Cell_497232880.cell.nml Htr3a-Cre_492100857_m aibs_perisomatic
149 497232872_all-active biophysical i nml:Cell_497232872.cell.nml Htr3a-Cre_491119960_m aibs_perisomatic
150 497232865_all-active biophysical i nml:Cell_497232865.cell.nml Htr3a-Cre_491119938_m aibs_perisomatic
151 497232858_all-active biophysical i nml:Cell_497232858.cell.nml Htr3a-Cre_492413499_m aibs_perisomatic
152 497232848_all-active biophysical i nml:Cell_497232848.cell.nml Pvalb-IRES-Cre;Ai14-187029.03.02.01_491119916_m aibs_perisomatic
153 497232839_all-active biophysical i nml:Cell_497232839.cell.nml Rorb-IRES2-Cre-D;Ai14-187416.05.01.01_491796267_m aibs_perisomatic
154 497232791_all-active biophysical i nml:Cell_497232791.cell.nml Sst-IRES-Cre;Ai14-187427.04.01.01_491119894_m aibs_perisomatic
155 497232735_all-active biophysical i nml:Cell_497232735.cell.nml Scnn1a-Tg3-Cre;Ai14-187852.04.02.01_484775243_m aibs_perisomatic
156 497232692_all-active biophysical i nml:Cell_497232692.cell.nml Nr5a1-Cre;Ai14-187780.03.02.01_491253858_m aibs_perisomatic
157 497232660_all-active biophysical i nml:Cell_497232660.cell.nml Sst-IRES-Cre;Ai14-188740.03.02.01_491119369_m aibs_perisomatic
158 497232641_all-active biophysical i nml:Cell_497232641.cell.nml Slc17a6-IRES-Cre;Ai14-190263.04.01.01_491392956_m aibs_perisomatic
159 497232629_all-active biophysical i nml:Cell_497232629.cell.nml Slc17a6-IRES-Cre;Ai14-190263.06.01.01_491771398_m aibs_perisomatic
